2.1939e+05,2.0338e+05,1.5669e+05,1.4959e+05,1.5329e+05,1.4877e+05,1.3866e+05,1.1291e+05,55223,0,9257.9,96612,1.08e+05,98680,80461,1.0069e+05,1.0218e+05,1.1038e+05,1.0954e+05,1.0685e+05,1.0842e+05,1.2167e+05
2.1938e+05,2.0355e+05,1.5717e+05,1.5025e+05,1.5427e+05,1.5024e+05,1.4059e+05,1.1512e+05,59140,9257.9,0,94342,1.061e+05,97538,80173,1.0267e+05,1.0422e+05,1.1323e+05,1.1272e+05,1.1015e+05,1.1123e+05,1.2183e+05
2.1262e+05,1.987e+05,1.732e+05,1.7547e+05,1.8284e+05,1.7773e+05,1.6773e+05,1.4538e+05,1.1196e+05,96612,94342,0,26657,42949,82347,1.4487e+05,1.4703e+05,1.6094e+05,1.6155e+05,1.6139e+05,1.6583e+05,1.4933e+05
2.124e+05,1.9992e+05,1.7977e+05,1.835e+05,1.9076e+05,1.8555e+05,1.7524e+05,1.5287e+05,1.2161e+05,1.08e+05,1.061e+05,26657,0,42946,88369,1.4981e+05,1.5207e+05,1.6594e+05,1.667e+05,1.6692e+05,1.7238e+05,1.5781e+05
2.1427e+05,2.0016e+05,1.8035e+05,1.8593e+05,1.9132e+05,1.8451e+05,1.7109e+05,1.4429e+05,1.1066e+05,98680,97538,42949,42946,0,57836,1.2723e+05,1.3003e+05,1.4799e+05,1.4969e+05,1.5238e+05,1.6371e+05,1.579e+05
2.2301e+05,2.0783e+05,1.8007e+05,1.8368e+05,1.8698e+05,1.7816e+05,1.6233e+05,1.3087e+05,92020,80461,80173,82347,88369,57836,0,90002,93657,1.1661e+05,1.1934e+05,1.254e+05,1.4582e+05,1.5465e+05
2.5433e+05,2.4142e+05,2.1158e+05,2.0892e+05,2.0712e+05,1.9643e+05,1.8063e+05,1.4859e+05,1.0458e+05,1.0069e+05,1.0267e+05,1.4487e+05,1.4981e+05,1.2723e+05,90002,0,7254.2,61231,69031,80289,1.2419e+05,1.7977e+05
2.5582e+05,2.4306e+05,2.1258e+05,2.0934e+05,2.0703e+05,1.9639e+05,1.8077e+05,1.4929e+05,1.0524e+05,1.0218e+05,1.0422e+05,1.4703e+05,1.5207e+05,1.3003e+05,93657,7254.2,0,58193,66465,78130,1.2365e+05,1.8053e+05
2.6273e+05,2.4849e+05,2.0401e+05,1.9281e+05,1.885e+05,1.7736e+05,1.6143e+05,1.3165e+05,1.0066e+05,1.1038e+05,1.1323e+05,1.6094e+05,1.6594e+05,1.4799e+05,1.1661e+05,61231,58193,0,20911,40142,99503,1.6514e+05
2.6262e+05,2.4777e+05,2.0019e+05,1.8684e+05,1.8215e+05,1.7065e+05,1.5507e+05,1.268e+05,97288,1.0954e+05,1.1272e+05,1.6155e+05,1.667e+05,1.4969e+05,1.1934e+05,69031,66465,20911,0,27873,88757,1.5714e+05
2.6159e+05,2.463e+05,1.9477e+05,1.7805e+05,1.7206e+05,1.6013e+05,1.45e+05,1.2005e+05,91394,1.0685e+05,1.1015e+05,1.6139e+05,1.6692e+05,1.5238e+05,1.254e+05,80289,78130,40142,27873,0,68970,1.4414e+05
2.5733e+05,2.4084e+05,1.8219e+05,1.5841e+05,1.4933e+05,1.4012e+05,1.3021e+05,1.1582e+05,97330,1.0842e+05,1.1123e+05,1.6583e+05,1.7238e+05,1.6371e+05,1.4582e+05,1.2419e+05,1.2365e+05,99503,88757,68970,0,1.067e+05
2.203e+05,1.9962e+05,1.2398e+05,1.0006e+05,98966,98632,97896,96632,1.076e+05,1.2167e+05,1.2183e+05,1.4933e+05,1.5781e+05,1.579e+05,1.5465e+05,1.7977e+05,1.8053e+05,1.6514e+05,1.5714e+05,1.4414e+05,1.067e+05,0
