48895,27401,14011,11553,47281,34136,53591,50474,38955,0,3228.8,55129,45617,6153.1,30843,29142,25630,37372,56611,11881,1.0969e+05,56114,97656,63321,65977,47804,68722,83694,86997,71536,53922,60810,1.1398e+05,39967,35216,25133,22514,17199,74424,45880,42061,37650,1.0151e+05,90417,58411,80498,49792,32755,93968,1.0553e+05,1.5088e+05,1.6636e+05,1.6387e+05,1.5233e+05,1.5792e+05,1.4362e+05,1.5627e+05,1.0182e+05,1.2489e+05,1.5455e+05,1.1304e+05,94982,69897,86366,75610,52944,38264,35643,69020,40917,62767,35009,55499,37181,65246,64000,56725,76471,47150,66490,45591,61545,72814,57933,75260,36296,77666,54244,74044,59136,42427,35204,67747,51574,71561,48675,39519,70294,60339,50144
47532,25672,11562,8938.7,45908,32549,52230,49111,37470,3228.8,0,53779,44223,3248,29202,27462,23849,35854,55290,14355,1.1033e+05,57322,98367,64389,66998,49180,69698,84515,87786,72471,55170,61926,1.1459e+05,41470,36803,26983,24446,19385,75332,47290,43529,39193,1.0219e+05,91178,59573,81351,51118,34397,94704,1.0619e+05,1.5133e+05,1.668e+05,1.6432e+05,1.5278e+05,1.5834e+05,1.441e+05,1.5672e+05,1.0253e+05,1.2546e+05,1.5498e+05,1.1368e+05,95755,70942,87213,76602,51641,37469,35415,67909,39817,61569,35215,54242,36558,64075,62813,55481,75444,45783,65340,44249,60339,71761,56697,74232,35862,76637,52967,73008,57908,41219,35191,66616,50244,70492,47300,38563,69206,59123,48788
17803,38794,48337,49710,20038,33108,7592.9,15156,28644,55129,53779,0,22014,52424,35992,37399,40181,30176,8315.3,60568,1.2678e+05,87477,1.1734e+05,92131,93954,82521,95869,1.0674e+05,1.092e+05,97864,86135,90448,1.3023e+05,78006,75165,68522,66839,63568,99944,81418,79219,76638,1.2033e+05,1.1179e+05,88909,1.0438e+05,83668,73587,1.1451e+05,1.2348e+05,1.582e+05,1.7404e+05,1.7199e+05,1.6209e+05,1.6404e+05,1.5243e+05,1.6545e+05,1.1943e+05,1.3759e+05,1.6115e+05,1.2817e+05,1.1423e+05,95284,1.0792e+05,99976,46364,53241,56181,41800,51583,42991,58658,45386,54146,42409,42687,44947,41363,48673,42148,49351,43338,41501,44517,41401,55121,41340,45862,41449,44102,50809,57352,41944,46879,41575,48035,52393,41674,43711,47436
9259.3,27723,38447,39941,4857.4,20567,19505,13130,14077,45617,44223,22014,0,42821,24288,26044,29341,16424,24179,51395,1.2193e+05,80188,1.12e+05,85292,87258,74635,89307,1.0083e+05,1.0343e+05,91435,78696,83461,1.2552e+05,69751,66739,59753,58000,54553,93646,73406,71032,68306,1.1516e+05,1.0616e+05,81771,98336,75928,65045,1.0902e+05,1.1847e+05,1.5677e+05,1.7177e+05,1.6952e+05,1.5903e+05,1.635e+05,1.4987e+05,1.6258e+05,1.1428e+05,1.3337e+05,1.6029e+05,1.2344e+05,1.0886e+05,89679,1.0219e+05,94131,42565,47890,50619,40449,46410,40340,52932,41926,48732,40061,40188,41628,48005,44161,40015,44647,40530,43222,41324,46326,49637,49606,42237,44698,41032,45769,51696,40120,42899,41961,43700,47121,41034,40765,43270
46172,23914,8950.4,6184.8,44527,30954,50876,47761,35968,6153.1,3248,52424,42821,0,27547,25758,22045,34314,53954,16698,1.1096e+05,58501,99070,65428,67991,50526,70649,85329,88570,73391,56390,63010,1.152e+05,42958,38353,28765,26308,21421,76228,48681,44984,40713,1.0288e+05,91932,60707,82193,52419,35989,95433,1.0685e+05,1.5176e+05,1.6723e+05,1.6475e+05,1.5323e+05,1.5874e+05,1.4457e+05,1.5715e+05,1.0323e+05,1.2603e+05,1.554e+05,1.1432e+05,96527,72004,88072,77603,50354,36891,35435,66802,38909,60388,35665,52998,36167,62914,61640,54255,74431,44486,64194,43004,59150,70711,55484,73214,35670,75627,51700,71976,56702,40166,35426,65489,48930,69423,45974,37814,68118,57924,47459
28600,6667.7,22268,24069,26493,6834.7,34276,30584,15121,30843,29202,35992,24288,27547,0,3540,9489.5,12594,37605,37522,1.1732e+05,71061,1.0651e+05,76843,79055,64739,81366,94233,97108,83755,69360,74783,1.2122e+05,59013,55371,47110,45071,41071,86226,63330,60542,57282,1.0995e+05,1.001e+05,72867,91466,66215,53324,1.0323e+05,1.1356e+05,1.5546e+05,1.7057e+05,1.6817e+05,1.5705e+05,1.6229e+05,1.4842e+05,1.6082e+05,1.0957e+05,1.3063e+05,1.5902e+05,1.197e+05,1.0353e+05,82205,96071,86959,38917,41074,43153,51507,40095,44669,45067,39504,41677,47286,45965,39993,60207,39012,48655,39195,43439,55905,40617,58795,42375,61581,39151,57358,41390,39727,44028,50069,38798,54431,38855,40550,52962,42336,38768
30207,3469.2,20306,22174,28171,9716.9,35718,32131,17289,29142,27462,37399,26044,25758,3540,0,6533.9,14940,38998,35943,1.1689e+05,70094,1.0599e+05,75964,78209,63670,80551,93586,96497,82972,68366,73877,1.2082e+05,57809,54061,45658,43589,39529,85476,62238,59378,56024,1.0947e+05,99526,71929,90781,65173,51971,1.0269e+05,1.1311e+05,1.5527e+05,1.7042e+05,1.6801e+05,1.5686e+05,1.621e+05,1.4823e+05,1.6064e+05,1.0915e+05,1.3038e+05,1.5883e+05,1.1938e+05,1.0305e+05,81451,95496,86265,39019,40394,42400,52884,39483,46031,44249,39987,40966,48673,47345,40667,61522,38597,50047,38715,44743,57251,41478,60124,41644,62881,39446,58695,42430,39156,43246,51453,38730,55792,38529,39903,54332,43530,38562
33263,3379.7,16145,18201,31345,14630,38528,35082,21204,25630,23849,40181,29341,22045,9489.5,6533.9,0,19097,41774,32680,1.1597e+05,68085,1.0489e+05,74131,76434,61432,78838,92197,95180,81324,66304,71985,1.1995e+05,55236,51293,42629,40504,36356,83895,59923,56900,53348,1.0842e+05,98281,69977,89322,62994,49131,1.0152e+05,1.1212e+05,1.5484e+05,1.7005e+05,1.6763e+05,1.5643e+05,1.6169e+05,1.4778e+05,1.6024e+05,1.0828e+05,1.2983e+05,1.5841e+05,1.187e+05,1.0206e+05,79910,94316,84845,39848,39031,40859,55569,38278,48743,42592,41538,39534,51386,50058,42561,64055,38072,52755,37953,47435,59879,43677,62695,40148,65374,40640,61299,44875,38058,41655,54151,39180,58442,38282,38614,57002,46140,38645
21662,17099,29527,31140,19102,7119.4,28258,24029,3918,37372,35854,30176,16424,34314,12594,14940,19097,0,31954,43572,1.191e+05,74837,1.0866e+05,80301,82395,68872,84588,96846,99605,86865,73230,78355,1.2288e+05,63566,60268,52614,50701,46942,89221,67556,64975,61991,1.1198e+05,1.0249e+05,76544,94200,70257,58400,1.055e+05,1.1547e+05,1.5606e+05,1.7099e+05,1.6863e+05,1.5775e+05,1.6286e+05,1.4907e+05,1.6144e+05,1.1132e+05,1.3156e+05,1.5961e+05,1.2101e+05,1.0557e+05,85303,98472,89849,39969,43856,46249,45819,42653,40294,48415,39617,44562,41939,41007,39473,54893,40975,43084,41317,39788,50322,39378,53413,45358,56318,39787,51886,39366,42152,47246,44406,40157,48774,40656,43228,47275,39489,40373
20438,40390,49853,51228,22398,34798,12496,18229,30477,56611,55290,8315.3,24179,53954,37605,38998,41774,31954,0,61981,1.2772e+05,88815,1.1836e+05,93393,95187,83892,97080,1.0786e+05,1.103e+05,99055,87495,91742,1.3113e+05,79365,76498,69894,68222,64967,1.0112e+05,82775,80569,77981,1.2133e+05,1.1286e+05,90227,1.0552e+05,85055,74918,1.1555e+05,1.2446e+05,1.5909e+05,1.7476e+05,1.7273e+05,1.6291e+05,1.65e+05,1.5331e+05,1.6622e+05,1.2042e+05,1.3851e+05,1.6205e+05,1.2913e+05,1.1525e+05,96183,1.0895e+05,1.0093e+05,47017,54093,57099,42115,52404,43426,59596,45969,55025,42797,43100,45487,41536,49454,42527,50154,43783,41729,45026,41606,56024,41486,46483,41666,44586,51626,58282,42287,47560,41833,48772,53221,41966,44173,48141
